step	mediator-max-opt_count_mean	mediator-max-opt_count_std_up	mediator-max-opt_count_std_down
1		[57.   0.2]		[147.67745   0.6    ]		[-33.67745  -0.2    ]
2		[0.6 2.4]		[1.0899  4.02481]		[0.1101  0.77519]
3		[ 0.4 14.2]		[ 0.8899  20.93498]		[-0.0899   7.46502]
4		[ 0.4 37. ]		[ 0.8899  53.99412]		[-0.0899  20.00588]
5		[  0.  100.4]		[  0.      152.02015]		[ 0.      48.77985]
6		[ 0.  37.4]		[ 0.      59.63151]		[ 0.      15.16849]
