step	mediator-max-opt_count_mean	mediator-max-opt_count_std_up	mediator-max-opt_count_std_down
1		[0.4 1.8]		[0.8899  3.63303]		[-0.0899  -0.03303]
2		[0.2 9.6]		[ 0.6     14.83832]		[-0.2      4.36168]
3		[0.8 8.8]		[ 1.54833 16.88455]		[0.05167 0.71545]
4		[ 0.  39.6]		[ 0.      54.56128]		[ 0.      24.63872]
5		[  0.  127.4]		[  0.      141.26506]		[  0.      113.53494]
6		[ 0.  61.4]		[ 0.      71.49158]		[ 0.      51.30842]
