step	mediator-max-opt_count_mean	mediator-max-opt_count_std_up	mediator-max-opt_count_std_down
1		[0. 0.]		[0. 0.]		[0. 0.]
2		[0.  4.8]		[0.      9.28999]		[0.      0.31001]
3		[ 0.  11.4]		[ 0.      15.98694]		[0.      6.81306]
4		[ 0.  47.6]		[ 0.      56.62441]		[ 0.      38.57559]
5		[  0.  127.8]		[  0.      139.20877]		[  0.      116.39123]
6		[ 0.  58.4]		[ 0.      65.37424]		[ 0.      51.42576]
