step	mediator-random_count_mean	mediator-random_count_std_up	mediator-random_count_std_down
1		[0. 0.]		[0. 0.]		[0. 0.]
2		[0.  3.6]		[0.      6.17682]		[0.      1.02318]
3		[ 0.2 14.2]		[ 0.6     19.97581]		[-0.2      8.42419]
4		[ 0.  44.4]		[ 0.      55.74196]		[ 0.      33.05804]
5		[  0.  131.8]		[  0.      141.37914]		[  0.      122.22086]
6		[ 0.  55.8]		[ 0.      64.00731]		[ 0.      47.59269]
