step	mediator-random_count_mean	mediator-random_count_std_up	mediator-random_count_std_down
1		[0.2 0.6]		[0.6 1.8]		[-0.2 -0.6]
2		[0. 3.]		[0.      4.41421]		[0.      1.58579]
3		[ 0.  17.8]		[ 0.      25.78499]		[0.      9.81501]
4		[ 0.  45.2]		[ 0.      54.19778]		[ 0.      36.20222]
5		[  0.  128.6]		[  0.     138.8098]		[  0.     118.3902]
6		[ 0.  54.6]		[ 0.      60.55315]		[ 0.      48.64685]
