step	mediator-random_count_mean	mediator-random_count_std_up	mediator-random_count_std_down
1		[0. 0.]		[0. 0.]		[0. 0.]
2		[0.  1.2]		[0.  1.6]		[0.  0.8]
3		[ 0.  10.8]		[ 0.      19.03165]		[0.      2.56835]
4		[ 0. 39.]		[ 0.      46.94984]		[ 0.      31.05016]
5		[  0.  139.6]		[  0.      148.55768]		[  0.      130.64232]
6		[ 0.  59.4]		[ 0.      67.78093]		[ 0.      51.01907]
