step	mediator-random_runtime_mean	mediator-random_runtime_std_up	mediator-random_runtime_std_down
1		0.0002		0.0006		-0.0002
2		0.01216		0.01807		0.00624
3		0.02113		0.02756		0.0147
4		0.0319		0.03948		0.02431
5		0.04447		0.05026		0.03868
6		0.05344		0.05951		0.04738
7		0.06262		0.06818		0.05706
8		0.0714		0.07699		0.06581
9		0.08018		0.08584		0.07451
10		0.08935		0.0946		0.08409
11		0.09843		0.10392		0.09294
12		0.10861		0.11597		0.10125
13		0.11778		0.12542		0.11014
14		0.12695		0.13429		0.11961
15		0.13613		0.1437		0.12856
16		0.14549		0.15301		0.13797
17		0.15447		0.16153		0.14742
18		0.16464		0.17108		0.1582
19		0.17402		0.18015		0.1679
20		0.18359		0.1901		0.17709
21		0.19336		0.1993		0.18743
22		0.20286		0.20951		0.1962
23		0.21343		0.22155		0.20531
24		0.224		0.2351		0.2129
25		0.23457		0.2498		0.21933
26		0.24694		0.26766		0.22622
27		0.25871		0.28524		0.23218
28		0.27188		0.3053		0.23845
29		0.28463		0.32065		0.24861
30		0.2994		0.3362		0.26259
31		0.31158		0.35243		0.27073
32		0.32154		0.36553		0.27755
33		0.33211		0.37577		0.28846
34		0.34308		0.38832		0.29785
35		0.35286		0.40007		0.30565
36		0.36224		0.41078		0.31369
37		0.37222		0.42312		0.32131
38		0.38119		0.43195		0.33044
39		0.39095		0.44309		0.33881
40		0.40233		0.45964		0.34502
41		0.41111		0.46861		0.35361
42		0.41987		0.47749		0.36226
43		0.42905		0.48706		0.37104
44		0.43823		0.49628		0.38019
45		0.44741		0.50691		0.38792
46		0.45619		0.51533		0.39704
47		0.46696		0.5247		0.40921
48		0.47633		0.53401		0.41865
49		0.48491		0.54286		0.42696
50		0.49348		0.55168		0.43528
51		0.50186		0.55995		0.44378
52		0.51124		0.56918		0.45329
53		0.52161		0.57883		0.46438
54		0.53058		0.58737		0.47379
55		0.54056		0.59739		0.48373
56		0.55013		0.60753		0.49273
57		0.55911		0.61674		0.50149
58		0.56928		0.62663		0.51194
59		0.57806		0.63607		0.52005
60		0.59004		0.65149		0.52859
61		0.5998		0.66329		0.53631
62		0.61097		0.67306		0.54888
63		0.61995		0.68135		0.55856
64		0.62853		0.69034		0.56672
65		0.63731		0.69863		0.57598
66		0.64588		0.70693		0.58483
67		0.65446		0.71524		0.59369
68		0.66264		0.72378		0.60149
69		0.67161		0.73274		0.61047
70		0.68058		0.74208		0.61908
71		0.68916		0.75084		0.62749
72		0.69793		0.7603		0.63557
73		0.70711		0.77065		0.64357
74		0.7167		0.77998		0.65342
75		0.72507		0.78863		0.66151
76		0.73404		0.79729		0.6708
77		0.74501		0.80934		0.68067
78		0.75698		0.82127		0.69268
79		0.76635		0.831		0.70169
80		0.77593		0.84016		0.7117
81		0.7859		0.85033		0.72147
82		0.79508		0.85931		0.73086
83		0.80465		0.86851		0.74079
84		0.81622		0.88194		0.7505
85		0.8252		0.89113		0.75927
86		0.83637		0.90203		0.7707
87		0.84655		0.91308		0.78001
88		0.85592		0.92272		0.78911
