step	mediator-max-opt_count_mean	mediator-max-opt_count_std_up	mediator-max-opt_count_std_down
1		[0.8 0.6 0.6 0.6 0.2 0.6]		[1.2    1.0899 1.0899 1.0899 0.6    1.0899]		[ 0.4     0.1101  0.1101  0.1101 -0.2     0.1101]
2		[41.6 41.6 41.6 41.4  0.  30.6]		[62.80943 62.81886 62.80943 62.43901  0.      52.78648]		[20.39057 20.38114 20.39057 20.36099  0.       8.41352]
3		[0.  0.2 0.  0.  0.  0. ]		[0.  0.6 0.  0.  0.  0. ]		[ 0.  -0.2  0.   0.   0.   0. ]
4		[0. 0. 0. 0. 0. 0.]		[0. 0. 0. 0. 0. 0.]		[0. 0. 0. 0. 0. 0.]
5		[ 0.   0.   0.  49.6  0.   0. ]		[  0.    0.    0.  148.8   0.    0. ]		[  0.    0.    0.  -49.6   0.    0. ]
6		[0. 0. 0. 0. 0. 0.]		[0. 0. 0. 0. 0. 0.]		[0. 0. 0. 0. 0. 0.]
7		[0. 0. 0. 0. 0. 0.]		[0. 0. 0. 0. 0. 0.]		[0. 0. 0. 0. 0. 0.]
